AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time,TimeDiff(ms),Acc_Magnitude,Gyr_Magnitude,Acc_L2Norm,Gyr_L2Norm,Acc_Mean,Gyr_Mean,Acc_Variance,Gyr_Variance,Acc_StdDev,Gyr_StdDev
2.57,3.66,8.34,0.08,-0.05,0.17,1721198961766,10000.0,9.463408476864982,0.1944222209522358,9.463408476864982,0.1944222209522358,4.8566666666666665,0.0666666666666666,9.397233333333332,0.0122333333333333,3.065490716562901,0.1106044001535804
2.8,1.76,14.43,-0.1,0.08,-0.0,1721198961776,10000.0,14.804137935050456,0.1280624847486569,14.804137935050456,0.1280624847486569,6.329999999999999,-0.0066666666666666,49.477900000000005,0.0081333333333333,7.034052885783559,0.0901849950564579
0.02,1.12,8.86,0.11,-0.18,0.01,1721198961786,10000.0,8.930531899052822,0.2111871208194287,8.930531899052822,0.2111871208194287,3.333333333333333,-0.0199999999999999,23.210533333333327,0.0217,4.817731139585659,0.1473091986265623
-1.78,0.95,10.52,-0.14,0.08,0.08,1721198961796,10000.0,10.71173655389265,0.18,10.71173655389265,0.18,3.23,0.0066666666666666,41.72129999999999,0.0161333333333333,6.459202737180495,0.1270170592217177
-1.6,1.31,12.35,0.12,-0.18,0.2,1721198961806,10000.0,12.521924772174604,0.2946183972531247,12.521924772174604,0.2946183972531247,4.02,0.0466666666666666,54.1587,0.0401333333333333,7.359259473615535,0.2003330560175562
0.24,1.24,8.92,-0.05,0.01,0.21,1721198961816,10000.0,9.008973304433752,0.216101827849743,9.008973304433752,0.216101827849743,3.466666666666667,0.0566666666666666,22.554133333333333,0.0185333333333333,4.749119216584622,0.1361371857110809
1.7,2.51,10.94,0.09,-0.08,0.22,1721198961826,10000.0,11.35225528254188,0.250798724079689,11.35225528254188,0.250798724079689,5.05,0.0766666666666666,26.1831,0.0226333333333333,5.116942446422472,0.1504437879519568
1.98,0.58,8.18,-0.1,0.03,0.0,1721198961836,10000.0,8.436183971441116,0.1044030650891055,8.436183971441116,0.1044030650891055,3.58,-0.0233333333333333,16.36,0.0046333333333333,4.044749683231337,0.0680685928555404
-0.97,3.06,11.1,0.05,-0.13,-0.04,1721198961846,10000.0,11.554847467621544,0.1449137674618943,11.554847467621544,0.1449137674618943,4.3966666666666665,-0.04,37.76123333333332,0.0081,6.145016951427662,0.09
-0.17,0.57,8.1,-0.1,0.02,0.01,1721198961856,10000.0,8.1218101430654,0.1024695076595959,8.1218101430654,0.1024695076595959,2.833333333333333,-0.0233333333333333,20.94023333333333,0.0044333333333333,4.576049970589628,0.0665832811847939
-0.04,2.07,11.02,0.04,-0.08,0.14,1721198961866,10000.0,11.212800720605,0.1661324772583615,11.212800720605,0.1661324772583615,4.35,0.0333333333333333,34.4797,0.0121333333333333,5.871941757204341,0.110151410945722
1.26,1.04,9.43,-0.07,0.05,0.02,1721198961876,10000.0,9.570480656685952,0.0883176086632784,9.570480656685952,0.0883176086632784,3.91,-1.1564823173178713e-18,22.8649,0.0039,4.781725629937377,0.0624499799839839
-0.09,2.09,11.0,0.03,-0.12,-0.09,1721198961886,10000.0,11.19715142346481,0.1529705854077835,11.19715142346481,0.1529705854077835,4.333333333333333,-0.06,34.521433333333334,0.0062999999999999,5.875494305446422,0.0793725393319377
-0.62,2.0,10.45,0.02,-0.04,-0.08,1721198961896,10000.0,10.657715515062314,0.0916515138991168,10.657715515062314,0.0916515138991168,3.943333333333333,-0.0333333333333333,33.46863333333332,0.0025333333333333,5.785208149525246,0.0503322295684716
-1.75,2.94,10.25,0.11,-0.06,0.01,1721198961906,10000.0,10.805952063562009,0.1256980508997653,10.805952063562009,0.1256980508997653,3.813333333333333,0.02,36.57203333333334,0.0072999999999999,6.0474815694910005,0.0854400374531753
-0.44,2.58,7.97,-0.06,0.02,0.03,1721198961916,10000.0,8.388736496040389,0.0699999999999999,8.388736496040389,0.0699999999999999,3.37,-0.0033333333333333,18.150099999999995,0.0024333333333333,4.260293417125163,0.0493288286231624
0.31,2.88,13.6,0.08,-0.07,0.11,1721198961926,10000.0,13.905053038374216,0.1529705854077835,13.905053038374216,0.1529705854077835,5.596666666666667,0.04,49.691233333333344,0.0093,7.049200900338516,0.0964365076099295
1.51,1.17,5.02,0.03,-0.08,0.03,1721198961936,10000.0,5.371163747271162,0.0905538513813741,5.371163747271162,0.0905538513813741,2.5666666666666664,-0.0066666666666666,4.543033333333332,0.0040333333333333,2.1314392633460923,0.0635085296108588
0.32,2.15,13.54,-0.09,0.04,-0.12,1721198961946,10000.0,13.713369389030545,0.1552417469626002,13.713369389030545,0.1552417469626002,5.336666666666666,-0.0566666666666666,51.30823333333333,0.0072333333333333,7.162976569369282,0.0850490054811538
-1.52,1.3,7.29,0.17,-0.25,-0.11,1721198961956,10000.0,7.559398124189518,0.3217141588429082,7.559398124189518,0.3217141588429082,2.356666666666667,-0.0633333333333333,20.241433333333333,0.0457333333333333,4.499048047457744,0.2138535324312725
-1.87,0.58,7.43,-0.16,0.02,0.01,1721198961966,10000.0,7.683631953705227,0.1615549442140351,7.683631953705227,0.1615549442140351,2.0466666666666664,-0.0433333333333333,23.23583333333333,0.0102333333333333,4.820356141752737,0.1011599393699567
-1.42,2.58,13.46,0.09,-0.13,0.16,1721198961976,10000.0,13.77840339081419,0.2249444375840398,13.77840339081419,0.2249444375840398,4.873333333333334,0.04,59.298133333333325,0.0229,7.700528120417022,0.1513274595042155
1.45,2.23,9.8,-0.08,0.07,0.06,1721198961986,10000.0,10.154575323468729,0.122065556157337,10.154575323468729,0.122065556157337,4.493333333333333,0.0166666666666666,21.27263333333334,0.0070333333333333,4.612226504990116,0.0838649708360608
0.33,4.8,12.12,0.04,-0.17,-0.04,1721198961996,10000.0,13.04006518388616,0.1791647286716891,13.04006518388616,0.1791647286716891,5.75,-0.0566666666666666,35.427899999999994,0.0112333333333333,5.952134071070644,0.1059874206372309
0.24,-0.34,7.09,-0.12,-0.09,-0.02,1721198962006,10000.0,7.102203883302703,0.1513274595042155,7.102203883302703,0.1513274595042155,2.33,-0.0766666666666666,17.0773,0.0026333333333333,4.132468995648969,0.0513160143944688
-0.8,3.7,12.67,0.06,-0.07,0.05,1721198962016,10000.0,13.223422401178905,0.1048808848170151,13.223422401178905,0.1048808848170151,5.19,0.0133333333333333,47.0253,0.0052333333333333,6.857499544294553,0.0723417813807023
1.48,-0.73,7.36,-0.18,-0.01,0.05,1721198962026,10000.0,7.542738229582146,0.187082869338697,7.542738229582146,0.187082869338697,2.703333333333333,-0.0466666666666666,17.484433333333335,0.0142333333333333,4.181439146195163,0.1193035344544885
-1.53,2.34,12.39,0.01,-0.23,-0.01,1721198962036,10000.0,12.70151959412731,0.2304343724360582,12.70151959412731,0.2304343724360582,4.4,-0.0766666666666666,51.624300000000005,0.0177333333333333,7.185005219204785,0.1331665623695878
-0.04,-0.54,7.56,-0.09,-0.01,-0.01,1721198962046,10000.0,7.579366728164035,0.0911043357914429,7.579366728164035,0.0911043357914429,2.3266666666666667,-0.0366666666666666,20.603333333333328,0.0021333333333333,4.539089482851526,0.04618802153517
-1.56,2.26,14.57,0.08,-0.17,0.1,1721198962056,10000.0,14.826533647484837,0.2128379665379276,14.826533647484837,0.2128379665379276,5.09,0.0033333333333333,71.05090000000001,0.0226333333333333,8.42916959136545,0.1504437879519568
-0.02,1.3,10.34,-0.05,0.0,0.16,1721198962066,10000.0,10.42142024869931,0.1676305461424021,10.42142024869931,0.1676305461424021,3.873333333333333,0.0366666666666666,31.79893333333333,0.0120333333333333,5.639054294235278,0.1096965511460289
0.75,3.07,15.96,0.05,-0.12,0.16,1721198962076,10000.0,16.26988014706931,0.206155281280883,16.26988014706931,0.206155281280883,6.593333333333334,0.03,67.14643333333333,0.0199,8.194292729292341,0.1410673597966588
0.95,0.56,8.04,0.03,-0.21,0.03,1721198962086,10000.0,8.115275719283972,0.2142428528562854,8.115275719283972,0.2142428528562854,3.183333333333333,-0.0499999999999999,17.728433333333328,0.0192,4.210514616211815,0.1385640646055101
-0.72,3.51,14.36,0.13,-0.09,-0.02,1721198962096,10000.0,14.800273646118844,0.1593737745050922,14.800273646118844,0.1593737745050922,5.716666666666666,0.0066666666666666,60.50363333333334,0.0126333333333333,7.778408149058093,0.1123981020005824
0.67,0.18,4.15,0.03,-0.21,0.05,1721198962106,10000.0,4.207588382910097,0.2179449471770336,4.207588382910097,0.2179449471770336,1.6666666666666667,-0.0433333333333333,4.685233333333334,0.0209333333333333,2.164539981920716,0.1446835627614047
-1.04,3.08,12.51,-0.02,-0.07,0.12,1721198962116,10000.0,12.92548258286707,0.140356688476182,12.92548258286707,0.140356688476182,4.8500000000000005,0.0099999999999999,48.2503,0.0097,6.946243589163858,0.098488578017961
1.23,2.49,7.2,0.1,-0.1,0.02,1721198962126,10000.0,7.717059025302321,0.142828568570857,7.717059025302321,0.142828568570857,3.64,0.0066666666666666,9.9021,0.0101333333333333,3.146760238721724,0.1006644591369433
0.23,3.59,12.01,-0.06,-0.05,-0.04,1721198962136,10000.0,12.537188680082949,0.0877496438739212,12.537188680082949,0.0877496438739212,5.276666666666666,-0.0499999999999999,36.82573333333333,9.999999999999996e-05,6.068420991768232,0.0099999999999999
-0.16,3.13,10.43,0.09,-0.16,0.05,1721198962146,10000.0,10.890702456682948,0.1902629759044045,10.890702456682948,0.1902629759044045,4.466666666666666,-0.0066666666666666,29.377033333333333,0.0180333333333333,5.420058425269356,0.1342882471898912
0.07,4.72,7.91,0.01,-0.12,0.08,1721198962156,10000.0,9.211481965460282,0.1445683229480096,9.211481965460282,0.1445683229480096,4.233333333333333,-0.01,15.544033333333331,0.0103,3.9425922098707256,0.1014889156509221
1.78,0.98,7.18,-0.1,-0.12,0.07,1721198962166,10000.0,7.461983650477934,0.1711724276862369,7.461983650477934,0.1711724276862369,3.313333333333333,-0.0499999999999999,11.373333333333331,0.0109,3.37243729865113,0.1044030650891055
